Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
stomper kush prerolls t2730 i 20451,0.87,30.14,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stomper kush pure vape t424 i 22381,84.70,0,0,0,0,0,0,0,0,0,1.18,0,2.72,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stomper kush shorties t2730 i 20452,0.87,30.14,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stomper kush thca infused preroll t3933 i 21497,1.27,43.40,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stormaden flower sc t30 i 14356,0.65,29,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stormaden flower t30 i 14355,0.65,29,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stormaden prerolls t30 i 14399,0.65,29.00,0.00,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stormaden shorties t30 i 14398,0.65,29.00,0.00,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suenolex re ba t89 h 17037,3.60,85.48,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37
sugar cookie t95 h 18993,0.19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aniva t30 8815,0.32,29.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summit cbd peak slim 41 17365,14.13,1.76,67.92,2.44,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summit cbd pure vape 41 17364,14.13,1.76,67.92,2.44,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summit cbd pure vape 41 20554,17.42,0,60.49,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summit cbd pure vape 51 14208,12.45,1.40,53.57,11.91,0,0,1.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76
summit cbd pure vape 51 18857,16.78,0,76.99,0,0,0,1.28,0,0,0,0,0,1.14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summit cbd rso 18570,13.74,0,64.03,6.28,0,0.06,1.17,0,0.05,0,0.21,0.42,0.94,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summit cbd rso 20068 c832 t53,5.31,0,82.89,0.28,0,0,1.18,0,0,0,0,0,3.03,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summit cbd rso syringe 81 15251 lotrs0097 ndc15251,1.91,2.48,61.30,13.03,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94
summit cbd slim 51 14209,12.45,1.40,53.57,11.91,0,0,1.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76
sundae d  t2589 23093,4.67,24.20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae d  t2589 pr minis 23094,4.67,24.20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae d  t2594 pr minis 23092,11.03,17.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae d t2444 23096,6.57,20.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae d t2444 pr minis 23097,6.57,20.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae d t2554 23098,6.65,21.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae d t2554 pr minis 23099,6.65,21.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae d t2594 23091,11.03,17.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundae driver flower t2053 h 21225,0.70,22.61,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday d grind t2796 21137,0.16,31.70,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday d t2796 21134,0.16,31.70,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday d t2796 pr minis 21135,0.16,31.70,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday flo t248 pr single 19977,0.67,27.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday flo x aniva oil t427 infused pr 19910,23.87,21.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday stomper grind t2359 21207,0.24,26.62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday stomper t2359 21204,0.24,26.62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday stomper t2359 pr minis 21205,0.24,26.62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday stomper smalls t2359 21206,0.24,26.62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday trails grind t2823 21904,0.45,31.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday trails t2823 21901,0.45,31.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday trails t2823 pr minis 21902,0.45,31.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunday trails smalls t2823 21903,0.45,31.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t206 18400,0.58,22.79,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t206 pr minis 18401,0.58,22.79,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t25 pr minis 16532,0.33,28.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t264 18366,1.42,28.46,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t264 pr minis 18367,1.42,28.46,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t264 smalls 19433,1.42,28.46,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t29 14922,0.33,28.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t29 14987,0.33,28.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t29 16518,0.33,28.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t29 pr minis 14923,0.33,28.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t30 13696,0.30,29.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t30 14886,0.30,29.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t30 14914,0.32,29.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t30 pr minis 13697,0.30,29.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t30 pr minis 14915,0.32,29.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t492 mr 18337,26.65,25.67,2.14,1.88,0,0,0.71,0,0.30,0.52,0,0.23,0.72,1.21,0,0,0.30,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t492 mr 18360,26.65,25.67,2.14,1.88,0,0,0.71,0,0.30,0.52,0,0.23,0.72,1.21,0,0,0.30,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t493 mr 19584,38.61,12.21,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundica t592 mr 19490,46.07,14.96,0.15,0.05,0,0,0,0,0,0,0,0,1.45,0.29,0,0,0.38,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundicapure t200c1 lx 14890,81.2,4.19,0.28,<0.01,<0.01,0.43,2.56,<0.01,0.35,<0.01,0.34,0.38,2.12,0.25,<0.01,1.09,2.05,0.45,0.23,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
rythm 35g sf hybridol fg 22851,0.95,28.08,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundicapure t350c1 14891,81.2,4.19,0.28,<0.01,<0.01,0.43,2.56,<0.01,0.35,<0.01,0.34,0.38,2.12,0.25,<0.01,1.09,2.05,0.45,0.23,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
sundicapure t395c3 16541,77.5,1.46,0.56,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sundicapure t862c3 14892,81.2,4.19,0.28,<0.01,<0.01,0.43,2.56,<0.01,0.35,<0.01,0.34,0.38,2.12,0.25,<0.01,1.09,2.05,0.45,0.23,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
sunlight t23 fl 15185,0.31,22.3,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t23 fl 15186,0.31,22.30,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t23 fl 15187,0.31,22.30,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t23 fl 15188,0.31,22.30,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t23 gr 15189,0.31,22.3,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t23 prm 15190,0.31,22.3,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 fl 14617,0.37,23.29,0,0.01,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 fl 15823,0.34,23.20,0,0.13,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 fl 16699,0.32,24.0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 fl 16700,0.32,24.0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 fl 16701,0.32,24.0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 fl 16702,0.32,24.0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 gr 15824,0.34,23.20,0,0.13,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 gr 16703,0.32,24.0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 prm 16025,0.34,23.20,0,0.13,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t24 prm 16704,0.32,24.0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t25 fl 16195,0.48,24.96,0,0.15,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t25 fl 16196,0.48,24.96,0,0.15,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t25 fl 16197,0.48,24.96,0,0.15,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t25 fl 16198,0.48,24.96,0,0.15,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t25 gr 16199,0.48,24.96,0,0.15,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t25 prm 16200,0.48,24.96,0,0.15,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t422 co 15815,84.10,0.11,0.21,0,0,0,0,0,0,0,0,0,2.73,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0
sunlight t426 co 14163,84.80,0.43,0.21,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08
sunlight t88 pdl 15100,86.41,1.28,0.08,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70,0,0,0,0,0,0,0,0
sunlight t89 pdl 16670,88.62,0,0.03,0,0,1.04,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0
sunlight t89 td 14698,88.49,0.61,0.19,0,0,1.09,0,0,0,0,0,0,1.76,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t91 pd 14185,91.01,0.44,0.26,0,0,1.60,0,0,0,0,0,0,1.34,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t91 pd 15707,91.30,0,0.02,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t91 pd 16187,91.30,0,0.02,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t93 pd 17456,92.96,0,0.34,0,0,0,0,0,0,0,0,0,1.70,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunlight t93 td 16151,92.56,0,0.08,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny stomper flower sc t2375 h 22279,0.72,26.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny stomper flower t2513 h 22277,0.67,27.89,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny stomper flower t2784 h 22278,0.78,30.85,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny stomper kief t5747 h 21553,4.66,60.22,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny stomper shorties t2375 h 22280,0.72,26.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunrise t1943 pr minis 22503,0.29,21.83,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunset strudel x strawberry sour haze 05g vape t433 h 21298,86.62,0,0,0,1.21,2.13,0.03,0.32,0.57,0.01,0.60,0.24,3.35,0,0,0.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superivex flower sc t2716 h 18531,0.32,30.61,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superivex flower t2716 h 18530,0.32,30.61,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supreme infused baking mix t500 i 15257 lotpd0079 ndc 15257,18.59,0.24,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supreme infused baking mix t500 i 17136,30.11,0.57,0.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supreme infused baking mix t500 i 18532,29.62,0.81,0.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supreme infused baking mix t500 i 20175,16.07,0,0.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surbanex flower sc t2890 s 17874,1.26,31.52,0,0.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surbanex flower t2890 s 17873,1.26,31.52,0,0.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aniva t30 8896,9.44,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surbanex prerolls t2890 s 18475,1.26,31.52,0,0.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surbanex shorties t2890 s 18476,1.26,31.52,0,0.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet sweet grind t1446 22568,0.22,16.24,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet sweet pr minis  t1446 22566,0.22,16.24,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet sweet t1446 22565,0.22,16.24,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet sweet t1530 22614,0.38,17.01,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet sweet t1530 pr minis 22615,0.38,17.01,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet sweet smalls t1446 22567,0.22,16.24,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10 i chewable tabs 15267,5.11,0.00,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10 i chewable tabs 16349,4.80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10 i chewable tabs 17415,4.92,0.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10c41 tabs 17283,1.32,0,5.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t125c125 oral spray 15225,2.60,0.09,2.75,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t25 s chewable micro dose tabs 15263,1.24,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t25 s chewable micro dose tabs 17251,1.29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t25 s chewable micro dose tabs 18850,1.27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t29c102 tabs 17284,3.81,0,13.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5 i chewable micro dose tabs 15262,0.00,0.00,0.00,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5 i chewable micro dose tabs 16348,2.52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5 i chewable micro dose tabs 17038,2.52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5 i chewable micro dose tabs 17413,2.46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t50 extended release tabs 18849,10.37,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t50 i extended release tabs 15264,8.57,0.09,0.00,0.01,,,,,,,,,,0.26,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t50 i extended release tabs 16350,11.19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t50 i extended release tabs 17836,9.31,0.43,0.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t32 prm 14697,0.11,32.02,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t213 pr single 19835,0.43,23.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc drops 14237,1.56,0,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc drops t459 i sweet 17155,1.61,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t778 18949,5.46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t731 i 17195,5.13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t736 i 15254 lottn0168 ndc15254,5.22,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t752 i 17061,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t761 i 16311,5.26,0.08,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t768 i 18828,5.39,0,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t774 i 17857,5.16,0.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc high potency drops t779 i 14340,5.25,0.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc oral spray 15212,5.41,0.15,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc oral spray 15385,5.25,0.00,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
