Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
sativum ob slips v1,12.9,<0.1,<0.1,<0.1,<0.1,<0.1,0.3,<0.1,0.1,<0.1,0.1,0.1,1.4,0.5,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob slips v2,12.9,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.2,0.1,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob slips v3,14.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.2,0.1,,0.2,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob sublingual spray ndc 3340,8.9,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,<0.1,<0.1,<0.1,0.1,<0.1,0.1,0.1,,0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob sublingual spray ndc 4002,8.5,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.4,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob sublingual spray ndc 4624,8.5,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.4,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob sublingual spray ndc 5018,8.39,<0.10,<0.10,<0.10,<0.1,<0.1,0.13,<0.1,<0.1,<0.1,<0.1,<0.1,0.42,<0.1,,0.16,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob sublingual spray v1,8.4,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,<0.1,,0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob white choc cherry cookie v1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum paradise punch cookie ndc 11273,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter chip cookie ndc 11258,0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter chip cookie ndc 13237,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter chip cookie ndc 5258,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter chip cookie ndc 5708,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter chip cookie ndc 7775,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter chip cookie ndc 9105,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter chip cookie ndc 9873,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter cookie 20mg,0.075,<.01,<.01,<.01,,,,,,,,,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum peanut butter cookie20mg,0.08,<0.01,<0.01,<0.01,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum pink lemonade cookie ndc 9130,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum pistachio granola bite ndc 5705,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum pistachio granola bite ndc 8127,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum pistachio granola bites multi pack ndc 8128,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
